Date,Close,High,Low,Open,Volume
2025-01-31,120.0589599609375,127.83824341487099,119.1790436181177,123.76861793270326,390372900
2025-02-03,116.64927673339844,118.55909714130068,112.99961082645434,114.7394486968032,371235700
2025-02-04,118.63909149169922,121.1888524384042,116.68926621972048,116.94924444838958,256550000
2025-02-05,124.81851959228516,124.98850212428793,120.74889426826606,121.74880228526035,262230800
2025-02-06,128.66815185546875,128.7581551695,125.19847756454047,127.40827329026631,251483600
2025-02-07,129.8280487060547,130.35799871586244,124.9884977355082,129.20811063964976,228186300
2025-02-10,133.55772399902344,134.98758517024453,129.94805537047182,130.0780330404282,216989100
2025-02-11,132.7877960205078,134.4676342706669,131.0079608594355,132.56781502240796,178902400
2025-02-12,131.12794494628906,132.22784993678553,129.0681367435288,130.00805277951918,160278600
2025-02-13,135.27755737304688,136.487452862588,131.15794096754342,131.54790450828392,197430000
2025-02-14,138.8372344970703,139.23719160158925,135.4875365315285,136.46744211776974,195479600
2025-02-18,139.38717651367188,143.4268135927519,137.91731045487123,141.25701494818574,219176600
2025-02-19,139.21719360351562,141.34700263351252,137.2073839146051,139.49716663707372,167536000
2025-02-20,140.0971221923828,140.6470746897965,136.7774200315485,140.01712771481476,143903600
2025-02-21,134.41763305664062,141.4470007486669,134.01767593596887,140.02711787829398,228217600
2025-02-24,130.2680206298828,138.57725415414035,130.06804206967678,136.5474420161462,251381100
2025-02-25,126.61835479736328,130.18802626376245,124.42856133510212,129.96804527013506,271428700
2025-02-26,131.26792907714844,133.71770077604796,128.478192299153,129.97805439122038,322553800
2025-02-27,120.13895416259766,134.99758082030266,119.99896764539281,134.9875872324259,443175800
2025-02-28,124.90850830078125,125.07849083366686,116.38929530836823,118.00914142194866,389091100
2025-03-03,114.04950714111328,123.68861991301428,112.26967207329028,123.49864257535764,411381400
2025-03-04,115.97933197021484,119.29902637351395,110.09987541363249,110.63982667322061,398163300
2025-03-05,117.28921508789062,118.26912068620358,114.49947076595478,117.56918811598004,284337900
2025-03-06,110.55982971191406,115.3393888375433,110.209863429875,113.51955654224739,321181900
2025-03-07,112.67964172363281,113.46957000648335,107.5501084934214,111.2397716760376,341755500
2025-03-10,106.97016143798828,111.83970852661247,105.45029700249104,109.88989097369002,366487400
2025-03-11,108.75,112.22967568900775,104.76036144852146,106.98015850635034,354865700
2025-03-12,115.73999786376953,116.76000213623047,112.87999725341797,114.12000274658203,323857500
2025-03-13,115.58000183105469,117.76000213623047,113.79000091552734,117.02999877929688,299033100
2025-03-14,121.66999816894531,121.87999725341797,118.1500015258789,118.61000061035156,277593500
2025-03-17,119.52999877929688,122.88999938964844,118.02999877929688,122.73999786376953,255501500
2025-03-18,115.43000030517578,119.0199966430664,114.54000091552734,118.0,299686900
2025-03-19,117.5199966430664,120.44999694824219,115.68000030517578,117.2699966430664,273426200
2025-03-20,118.52999877929688,120.19999694824219,116.47000122070312,116.55000305175781,248829700
2025-03-21,117.69999694824219,117.98999786376953,115.41999816894531,116.94000244140625,266498500
2025-03-24,121.41000366210938,122.22000122070312,119.33999633789062,119.87999725341797,228452500
2025-03-25,120.69000244140625,121.29000091552734,118.91999816894531,120.55000305175781,167447200
2025-03-26,113.76000213623047,118.83999633789062,112.70999908447266,118.7300033569336,293463300
2025-03-27,111.43000030517578,114.44999694824219,110.66000366210938,111.3499984741211,236902100
2025-03-28,109.66999816894531,112.87000274658203,109.06999969482422,111.48999786376953,229872500
2025-03-31,108.37999725341797,110.95999908447266,103.6500015258789,105.12999725341797,299212700
2025-04-01,110.1500015258789,110.19999694824219,106.47000122070312,108.5199966430664,222614000
2025-04-02,110.41999816894531,111.9800033569336,106.79000091552734,107.29000091552734,220601200
2025-04-03,101.80000305175781,105.62999725341797,101.5999984741211,103.51000213623047,338769400
2025-04-04,94.30999755859375,100.12999725341797,92.11000061035156,98.91000366210938,532273800
2025-04-07,97.63999938964844,101.75,86.62000274658203,87.45999908447266,611041300
2025-04-08,96.30000305175781,105.8499984741211,94.45999908447266,103.80999755859375,476243400
2025-04-09,114.33000183105469,115.0999984741211,97.52999877929688,98.88999938964844,612918300
2025-04-10,107.56999969482422,110.86000061035156,99.1500015258789,109.37000274658203,437812400
2025-04-11,110.93000030517578,111.55000305175781,107.4800033569336,108.5,313417300
2025-04-14,110.70999908447266,114.29000091552734,109.06999969482422,114.11000061035156,264705000
2025-04-15,112.19999694824219,113.62000274658203,110.5,110.97000122070312,228966900
2025-04-16,104.48999786376953,106.79000091552734,100.44999694824219,104.55000305175781,397016900
2025-04-17,101.48999786376953,104.47000122070312,100.05000305175781,104.44999694824219,290833400
2025-04-21,96.91000366210938,99.44000244140625,95.04000091552734,98.7699966430664,288501100
2025-04-22,98.88999938964844,99.80999755859375,97.27999877929688,98.77999877929688,241004800
2025-04-23,102.70999908447266,104.80000305175781,102.0199966430664,104.5199966430664,247526000
2025-04-24,106.43000030517578,106.54000091552734,103.11000061035156,103.4800033569336,220815000
2025-04-25,111.01000213623047,111.91999816894531,105.7300033569336,106.8499984741211,251064700
2025-04-28,108.7300033569336,110.37000274658203,106.0199966430664,109.69000244140625,207708500
2025-04-29,109.0199966430664,110.19999694824219,107.44000244140625,107.66999816894531,170444300
2025-04-30,108.91999816894531,108.91999816894531,104.08000183105469,104.47000122070312,235044600
2025-05-01,111.61000061035156,114.94000244140625,111.30000305175781,113.08000183105469,236121500
2025-05-02,114.5,115.4000015258789,113.37000274658203,114.18000030517578,190194800
2025-05-05,113.81999969482422,114.66999816894531,112.66000366210938,112.91000366210938,133163200
2025-05-06,113.54000091552734,114.73999786376953,110.81999969482422,111.4800033569336,158525600
2025-05-07,117.05999755859375,117.68000030517578,112.27999877929688,113.05000305175781,206758800
2025-05-08,117.37000274658203,118.68000030517578,115.8499984741211,118.25,198428100
2025-05-09,116.6500015258789,118.2300033569336,115.20999908447266,117.3499984741211,132972200
2025-05-12,123.0,123.0,120.27999877929688,121.97000122070312,225023300
2025-05-13,129.92999267578125,131.22000122070312,124.47000122070312,124.9800033569336,330430100
2025-05-14,135.33999633789062,135.44000244140625,131.67999267578125,133.1999969482422,281180800
2025-05-15,134.8300018310547,136.3000030517578,132.66000366210938,134.2899932861328,226632600
2025-05-16,135.39999389648438,136.35000610351562,133.4600067138672,136.22000122070312,226542500
2025-05-19,135.57000732421875,135.8699951171875,132.38999938964844,132.38999938964844,193154600
2025-05-20,134.3800048828125,134.5800018310547,132.6199951171875,134.2899932861328,161514200
2025-05-21,131.8000030517578,137.39999389648438,130.58999633789062,133.05999755859375,270608700
